ADJ,ADV,CONJ,NOUN,NUM,VERB,COMMA,FULLSTOP,SPECIAL-,FUNCTION-A,FUNCTION-IN,FUNCTION-OF,FUNCTION-THE,uppercase_freq,flesch_reading_ease,flesch_kincaid_grade_level,avg_word_length,avg_sentence_length,text_perplexity,avg_sentence_perplexity,label
11,3,0,24,0,10,5,4,0,3,4,4,10,0.028846153846153848,38.35,13.9,5.278350515463917,26.5,1.19809091091156,1.286676824092865,0
6,2,0,7,0,6,2,2,0,1,2,1,4,0.025210084033613446,52.19,10.7,5.0,21.0,1.4369200468063354,1.2610487341880798,0
3,0,0,3,0,0,0,1,0,1,0,1,1,0.012345679012345678,68.77,6.4,5.545454545454546,14.0,1.0542511940002441,1.0542511940002441,0
12,3,0,18,1,7,1,3,2,1,0,1,5,0.023255813953488372,42.0,12.5,5.415384615384616,25.0,1.2178750038146973,1.0598384539286296,0
12,5,0,34,0,14,8,6,1,0,0,1,6,0.013836477987421384,28.33,13.7,6.224299065420561,20.666666666666668,1.1993961334228516,1.0966361959775288,0
5,1,0,6,0,4,2,1,0,2,1,0,1,0.015706806282722512,25.12,17.0,5.275862068965517,32.0,1.6579078435897827,1.6579078435897827,0
14,4,0,34,1,8,5,2,0,1,3,6,2,0.003189792663476874,1.94,23.8,5.9772727272727275,48.0,1.1962453126907349,1.3896108865737915,0
9,0,0,27,0,7,3,3,1,1,3,4,3,0.012526096033402923,23.05,15.7,5.768115942028985,25.333333333333332,1.3128337860107422,1.255971868832906,0
4,0,0,4,0,2,0,1,0,0,1,0,1,0.008547008547008548,22.41,13.9,6.333333333333333,16.0,1.0116376876831055,1.0116376876831055,0
11,2,0,13,1,3,0,3,1,1,1,2,4,0.009615384615384616,54.52,9.8,4.9411764705882355,18.333333333333332,1.5026423931121826,1.102271278699239,0
4,2,0,24,0,5,1,2,0,0,2,1,1,0.018469656992084433,34.09,15.6,5.491228070175438,30.0,1.4197981357574463,1.0620178580284119,0
5,1,0,13,0,8,3,2,0,2,0,0,0,0.006389776357827476,-0.1,18.4,6.365853658536586,23.0,1.3045756816864014,1.2136324048042297,0
2,1,0,11,0,6,1,2,0,0,3,2,1,0.08267716535433071,43.22,12.1,5.125,22.0,1.369749903678894,1.004992663860321,0
5,0,0,20,1,6,1,3,2,0,0,2,2,0.018018018018018018,30.16,13.0,5.551020408163265,19.0,1.5109714269638062,1.3830987612406414,0
4,3,0,14,0,3,0,2,0,1,1,0,0,0.043824701195219126,28.84,13.5,6.117647058823529,18.5,2.127546787261963,2.0218634605407715,0
6,0,0,4,0,1,0,1,0,1,1,0,0,0.03076923076923077,20.38,14.6,6.235294117647059,18.0,1.0092875957489014,1.0092875957489014,0
8,1,0,20,0,5,1,3,2,2,5,1,5,0.0407673860911271,48.43,12.1,4.746478873239437,25.666666666666668,1.1913992166519165,1.0031821330388386,0
2,0,0,6,0,2,0,1,0,0,1,0,0,0.009009009009009009,47.79,10.3,5.933333333333334,16.0,1.0209736824035645,1.0209736824035645,0
2,1,0,3,0,2,0,1,0,1,1,0,0,0.02608695652173913,62.68,8.7,5.352941176470588,18.0,1.0128120183944702,1.0128120183944702,0
10,0,0,8,0,4,0,2,0,0,2,1,1,0.0398406374501992,4.98,16.4,6.59375,17.5,1.3230462074279785,1.0037189722061157,0
4,3,0,19,1,5,0,3,0,2,1,5,3,0.008522727272727272,36.59,12.6,5.452830188679245,19.0,1.3599066734313965,1.1026774644851685,0
4,0,0,11,1,3,2,2,0,0,2,1,0,0.04184100418410042,21.4,14.3,6.15625,18.0,1.1829314231872559,1.0097063779830933,0
6,5,0,12,0,4,2,2,2,0,1,0,0,0.02631578947368421,17.34,15.8,6.0,24.0,1.3333265781402588,1.5192366242408752,0
4,9,0,5,0,5,2,2,0,0,0,0,0,0.06866952789699571,29.35,13.3,5.757575757575758,18.5,1.5861386060714722,1.1291725635528564,0
13,3,0,14,0,6,2,3,2,0,2,2,1,0.007407407407407408,19.06,15.1,5.912280701754386,21.333333333333332,1.244999885559082,1.1331075429916382,0
8,1,0,16,0,5,0,2,0,2,5,4,5,0.006309148264984227,44.07,13.8,4.722222222222222,28.0,1.553863763809204,1.4533035159111023,0
9,1,0,11,1,2,3,1,0,0,0,4,2,0.003115264797507788,1.44,24.0,6.068181818181818,48.0,1.4418456554412842,1.4418456554412842,0
5,0,0,4,0,1,0,1,1,1,0,0,0,0.05384615384615385,12.94,15.4,6.235294117647059,19.0,1.5594402551651,1.5594402551651,0
5,0,0,3,0,2,1,1,0,0,0,0,0,0.008130081300813009,37.3,12.3,5.764705882352941,19.0,1.1886452436447144,1.1886452436447144,0
4,1,0,30,2,3,1,2,0,2,3,2,3,0.057692307692307696,54.9,13.8,4.298507462686567,35.5,1.9295742511749268,1.4107605814933777,0
2,0,0,7,0,4,0,1,0,0,1,2,1,0.03773584905660377,36.63,14.6,4.846153846153846,27.0,1.4281561374664307,1.4281561374664307,0
3,0,0,4,0,3,1,1,0,0,0,0,1,0.014705882352941176,58.62,10.3,5.095238095238095,23.0,1.9051730632781982,1.9051730632781982,0
11,1,0,14,0,3,0,3,0,1,2,3,1,0.008902077151335312,21.4,14.3,5.833333333333333,17.0,1.3420817852020264,1.0040026903152466,0
3,0,0,8,0,3,0,1,1,0,1,2,0,0.006535947712418301,50.16,11.5,5.636363636363637,24.0,1.0136985778808594,1.0136985778808594,0
5,1,0,5,0,5,1,2,0,0,1,1,4,0.02109704641350211,52.7,10.5,5.162162162162162,20.0,1.4162923097610474,1.0356155037879944,0
12,0,0,17,0,5,2,2,0,2,3,2,1,0.015306122448979591,23.6,17.5,5.161290322580645,33.5,1.841117024421692,1.4966796040534973,0
3,1,0,10,0,2,1,1,3,0,1,0,1,0.03867403314917127,43.06,14.2,4.580645161290323,36.0,1.3089667558670044,1.3089667558670044,0
4,3,0,17,1,8,1,3,4,0,1,3,1,0.008571428571428572,36.59,12.6,4.964912280701754,21.666666666666668,1.2715247869491577,1.0028834342956543,0
9,1,0,18,0,4,1,2,3,0,2,3,4,0.022922636103151862,14.29,17.0,5.938775510204081,27.5,1.2596012353897095,1.008033812046051,0
6,1,0,6,0,1,1,1,0,0,2,1,1,0.04938271604938271,29.18,15.4,4.923076923076923,29.0,1.4898678064346313,1.4898678064346313,0
7,4,0,16,0,5,2,2,0,0,1,2,2,0.043596730245231606,28.67,15.6,6.0,27.5,1.4296666383743286,1.1521225571632385,0
7,2,0,8,0,3,0,1,0,0,0,0,0,0.004424778761061947,-8.73,21.7,6.551724137931035,30.0,1.0165824890136719,1.0165824890136719,0
3,1,0,6,1,2,0,1,0,0,1,1,1,0.007462686567164179,27.83,13.9,6.0,20.0,1.0184062719345093,1.0184062719345093,0
7,0,0,14,0,6,1,2,1,1,0,3,1,0.046012269938650305,29.69,15.2,5.34,27.0,1.474433422088623,1.0906386375427246,0
3,1,0,27,1,10,2,3,0,3,3,2,3,0.005836575875486381,14.29,17.0,6.27536231884058,25.0,1.448042631149292,1.1949214935302734,0
5,1,0,6,0,2,0,2,1,1,1,0,0,0.0136986301369863,4.14,14.7,7.117647058823529,10.0,1.6876766681671143,1.0076343417167664,0
12,1,0,14,0,2,1,2,0,2,0,2,4,0.0084985835694051,21.23,16.4,5.9,26.5,1.290440559387207,1.2946810126304626,0
8,1,0,9,0,3,1,2,0,0,1,1,1,0.008583690987124463,53.71,10.1,5.4,19.0,1.292968988418579,1.0052559971809387,0
3,1,0,11,0,6,0,3,0,1,3,0,0,0.072992700729927,33.61,11.6,6.162162162162162,13.333333333333334,1.308838129043579,1.0145095586776733,0
6,0,0,14,1,2,5,1,0,1,0,2,1,0.015037593984962405,24.45,19.3,5.657894736842105,45.0,2.2211363315582275,2.2211363315582275,0
1,0,0,3,0,1,0,1,0,0,1,1,1,0.023529411764705882,58.28,8.4,5.0,14.0,1.4599026441574097,1.4599026441574097,0
6,3,0,15,0,4,3,2,0,0,2,5,5,0.05042016806722689,18.69,17.4,5.290909090909091,30.5,1.1995526552200317,1.1831237077713013,0
8,5,0,14,0,3,3,2,1,1,1,3,2,0.006042296072507553,30.7,14.8,5.666666666666667,27.0,1.2891080379486084,1.0041188597679138,0
1,0,0,4,0,1,0,1,0,0,0,1,0,0.013333333333333334,-4.33,15.9,6.666666666666667,10.0,4.076827526092529,4.076827526092529,0
8,1,0,13,0,1,0,2,1,1,1,3,3,0.0076045627376425855,18.86,15.2,5.7105263157894735,20.5,1.3656353950500488,1.0026100277900696,0
5,5,0,9,0,5,1,2,1,0,1,1,2,0.022222222222222223,15.31,16.6,5.8,24.5,1.19563889503479,1.0282993912696838,0
