ADJ,ADV,CONJ,NOUN,NUM,VERB,COMMA,FULLSTOP,SPECIAL-,FUNCTION-A,FUNCTION-IN,FUNCTION-OF,FUNCTION-THE,uppercase_freq,flesch_reading_ease,flesch_kincaid_grade_level,avg_word_length,avg_sentence_length,text_perplexity,avg_sentence_perplexity,label
6,2,0,24,0,8,4,3,1,2,4,5,6,0.011976047904191617,37.94,14.1,5.48,28.333333333333332,1.5689014196395874,1.3371416727701824,1
21,5,0,46,1,16,8,5,1,7,5,1,8,0.02027027027027027,35.95,16.9,4.778409090909091,38.0,1.067218542098999,1.1096730470657348,1
12,3,0,23,1,11,5,5,1,3,5,2,2,0.009107468123861567,53.61,10.2,4.98876404494382,20.0,1.358391523361206,1.1594968557357788,1
11,1,0,35,0,8,6,4,5,1,1,7,10,0.03056768558951965,46.3,13.0,5.311320754716981,31.25,1.103574275970459,1.0810905396938324,1
2,1,0,21,0,10,5,3,0,0,1,0,0,0.021176470588235293,3.46,17.0,7.0588235294117645,19.666666666666668,1.6173019409179688,1.039368708928426,1
15,4,0,21,0,13,2,5,0,3,1,2,7,0.025411061285500747,34.66,13.3,5.673469387755102,21.4,1.2530088424682617,1.1020633935928346,1
12,1,0,35,2,14,7,4,2,1,3,0,3,0.005681818181818182,13.78,17.2,6.15625,27.25,1.129016399383545,1.0392905473709106,1
8,5,0,32,0,15,4,3,4,0,2,2,1,0.004178272980501393,11.28,20.2,5.588785046728972,39.333333333333336,1.144910216331482,1.1477455298105876,1
16,3,0,49,0,19,7,5,8,3,5,5,5,0.0311284046692607,23.9,17.4,5.273291925465839,36.6,1.07234525680542,1.006371831893921,1
10,4,0,34,2,13,3,4,3,0,1,6,6,0.006060606060606061,45.29,13.4,5.05607476635514,29.25,1.1784323453903198,1.083503246307373,1
2,3,0,17,1,6,3,3,1,1,2,0,0,0.01592356687898089,47.79,10.3,5.446808510638298,18.0,1.515521764755249,1.004791498184204,1
13,6,0,30,0,11,3,5,1,3,3,2,5,0.007062146892655367,9.28,16.8,5.95,21.8,1.1363219022750854,1.0009371995925904,1
16,5,0,25,1,7,9,4,0,1,2,3,3,0.01483679525222552,6.03,18.1,6.153846153846154,27.0,1.1372590065002441,1.0033419132232666,1
8,1,0,24,0,9,3,3,0,0,0,2,5,0.005780346820809248,45.39,13.3,5.584415584415584,27.666666666666668,1.1911686658859253,1.177124301592509,1
7,4,0,38,0,10,4,5,0,1,0,2,2,0.007473841554559043,11.31,16.1,6.420454545454546,19.6,1.1598871946334839,1.2476587057113648,1
11,4,0,44,0,23,2,6,6,3,6,8,3,0.005988023952095809,30.7,14.8,5.72108843537415,26.833333333333332,1.085282564163208,1.056332270304362,1
7,3,0,35,0,11,4,4,2,5,2,4,6,0.006756756756756757,39.37,13.6,5.08421052631579,26.25,1.2713167667388916,1.069496363401413,1
6,1,0,26,0,10,6,3,0,1,0,5,1,0.0057361376673040155,21.02,16.5,5.864864864864865,27.666666666666668,1.184397578239441,1.0026672681172688,1
8,0,0,18,0,9,5,4,0,0,0,1,4,0.032520325203252036,28.33,13.7,5.814285714285714,19.75,1.3121219873428345,1.0248705446720123,1
16,2,0,22,0,11,3,4,0,4,2,1,0,0.01092896174863388,25.8,14.6,5.62962962962963,22.0,1.3174645900726318,1.05178564786911,1
10,3,0,39,0,14,5,4,1,2,0,6,5,0.005277044854881266,9.72,18.7,5.693693693693693,30.25,1.187308669090271,1.1667991876602173,1
15,0,0,29,0,10,2,5,0,1,3,3,2,0.02607361963190184,27.01,14.2,5.776595744680851,20.6,1.1340177059173584,1.0010344982147217,1
12,1,0,41,0,10,4,4,1,4,1,2,1,0.017069701280227598,20.42,16.7,5.715686274509804,28.75,1.1302821636199951,1.0835489332675934,1
13,5,0,23,1,9,5,3,0,1,3,3,1,0.015734265734265736,33.88,15.7,5.465116279069767,32.0,1.1569266319274902,1.0465212265650432,1
18,5,0,30,0,11,5,4,1,4,2,4,4,0.005082592121982211,16.15,18.3,5.441666666666666,32.5,1.1169110536575317,1.0079241394996643,1
8,5,0,20,3,11,7,4,0,1,4,1,5,0.007782101167315175,49.65,11.7,4.77906976744186,24.25,1.2227548360824585,1.1724145710468292,1
